city,time,pm2_5,pm10,ozone
bengaluru,2025-12-11 00:00:00+00:00,33.78,34.98,97.4
bengaluru,2025-12-11 01:00:00+00:00,33.98,35.0,92.8
bengaluru,2025-12-11 02:00:00+00:00,35.66,36.52,87.2
bengaluru,2025-12-11 03:00:00+00:00,33.32,34.08,90.2
bengaluru,2025-12-11 04:00:00+00:00,28.04,28.94,111.0
bengaluru,2025-12-11 05:00:00+00:00,23.9,24.8,141.2
bengaluru,2025-12-11 06:00:00+00:00,21.58,22.38,162.4
bengaluru,2025-12-11 07:00:00+00:00,20.68,21.32,169.0
bengaluru,2025-12-11 08:00:00+00:00,19.84,20.5,166.6
bengaluru,2025-12-11 09:00:00+00:00,19.24,19.9,160.4
bengaluru,2025-12-11 10:00:00+00:00,19.04,19.78,149.8
bengaluru,2025-12-11 11:00:00+00:00,19.34,20.04,134.6
bengaluru,2025-12-11 12:00:00+00:00,22.86,23.4,118.4
bengaluru,2025-12-11 13:00:00+00:00,28.6,29.08,101.8
bengaluru,2025-12-11 14:00:00+00:00,32.34,32.88,84.4
bengaluru,2025-12-11 15:00:00+00:00,34.6,35.16,72.6
bengaluru,2025-12-11 16:00:00+00:00,36.48,37.0,68.8
bengaluru,2025-12-11 17:00:00+00:00,38.42,39.14,69.0
bengaluru,2025-12-11 18:00:00+00:00,39.62,40.42,71.0
bengaluru,2025-12-11 19:00:00+00:00,39.52,40.42,72.8
bengaluru,2025-12-11 20:00:00+00:00,39.56,40.62,74.6
bengaluru,2025-12-11 21:00:00+00:00,39.84,40.94,78.0
bengaluru,2025-12-11 22:00:00+00:00,39.8,41.08,82.6
bengaluru,2025-12-11 23:00:00+00:00,40.56,41.96,86.8
bengaluru,2025-12-12 00:00:00+00:00,40.62,42.16,89.6
bengaluru,2025-12-12 01:00:00+00:00,43.72,45.3,85.2
bengaluru,2025-12-12 02:00:00+00:00,50.58,52.24,78.4
bengaluru,2025-12-12 03:00:00+00:00,44.4,45.66,81.0
bengaluru,2025-12-12 04:00:00+00:00,29.56,31.0,101.8
bengaluru,2025-12-12 05:00:00+00:00,24.76,26.2,132.2
bengaluru,2025-12-12 06:00:00+00:00,22.54,24.26,154.6
bengaluru,2025-12-12 07:00:00+00:00,21.48,23.48,164.0
bengaluru,2025-12-12 08:00:00+00:00,20.66,22.72,166.4
