city,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,aqi_category,severity,risk_classification,hour
Delhi,2025-12-11 00:00:00+00:00,106.2,105.2,1056.0,28.5,32.3,45.0,0.0,Unhealthy,3334.8,High Risk,0
Delhi,2025-12-11 01:00:00+00:00,111.1,110.1,1287.0,35.6,36.8,37.0,0.0,Unhealthy,3858.4,High Risk,1
Delhi,2025-12-11 02:00:00+00:00,125.3,124.3,1596.0,46.2,43.4,28.0,0.1,Unhealthy,4631.8,High Risk,2
Delhi,2025-12-11 03:00:00+00:00,131.3,130.4,1761.0,51.2,48.4,36.0,0.65,Unhealthy,5074.3,High Risk,3
Delhi,2025-12-11 04:00:00+00:00,124.3,123.9,1660.0,44.8,50.0,79.0,1.7,Unhealthy,4928.6,High Risk,4
Delhi,2025-12-11 05:00:00+00:00,111.5,110.8,1415.0,32.6,50.0,139.0,2.9,Unhealthy,4465.9,High Risk,5
Delhi,2025-12-11 06:00:00+00:00,91.0,90.3,1177.0,22.5,49.6,183.0,3.75,Moderate,3915.9,High Risk,6
Delhi,2025-12-11 07:00:00+00:00,71.9,71.2,967.0,15.5,48.9,199.0,3.9,Moderate,3360.3,High Risk,7
Delhi,2025-12-11 08:00:00+00:00,62.2,61.7,763.0,10.6,47.8,199.0,3.15,Moderate,2851.7,High Risk,8
Delhi,2025-12-11 09:00:00+00:00,56.0,55.5,652.0,11.8,47.1,188.0,1.95,Moderate,2549.1,High Risk,9
Delhi,2025-12-11 10:00:00+00:00,52.5,52.0,699.0,23.5,46.8,163.0,0.85,Moderate,2585.7,High Risk,10
Delhi,2025-12-11 11:00:00+00:00,55.4,55.1,837.0,41.4,46.9,126.0,0.2,Moderate,2846.9,High Risk,11
Delhi,2025-12-11 12:00:00+00:00,69.8,69.6,955.0,57.0,48.5,94.0,0.0,Moderate,3171.4,High Risk,12
Delhi,2025-12-11 13:00:00+00:00,85.4,85.2,1006.0,67.9,52.8,70.0,0.0,Moderate,3387.0,High Risk,13
Delhi,2025-12-11 14:00:00+00:00,96.9,96.4,1036.0,76.4,58.5,49.0,0.0,Moderate,3531.3,High Risk,14
Delhi,2025-12-11 15:00:00+00:00,108.3,107.8,1071.0,81.3,63.4,34.0,0.0,Unhealthy,3686.7,High Risk,15
Delhi,2025-12-11 16:00:00+00:00,121.5,121.1,1139.0,81.0,67.3,27.0,0.0,Unhealthy,3922.2,High Risk,16
