city,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,aqi_category,severity,risk_classification,hour
Kolkata,2025-12-11 00:00:00+00:00,190.5,187.2,1071.0,27.3,30.8,44.0,0.0,Unhealthy,4013.9,High Risk,0
Kolkata,2025-12-11 01:00:00+00:00,186.3,183.9,1246.0,25.4,30.1,57.0,0.1,Unhealthy,4363.4,High Risk,1
Kolkata,2025-12-11 02:00:00+00:00,178.3,176.0,1470.0,24.5,30.0,76.0,0.6,Unhealthy,4800.9,High Risk,2
Kolkata,2025-12-11 03:00:00+00:00,169.0,167.2,1546.0,22.2,30.3,102.0,1.75,Unhealthy,4951.0,High Risk,3
Kolkata,2025-12-11 04:00:00+00:00,156.9,154.6,1332.0,16.7,31.2,142.0,3.2,Unhealthy,4525.3,High Risk,4
Kolkata,2025-12-11 05:00:00+00:00,131.3,127.6,969.0,9.8,32.5,189.0,4.4,Unhealthy,3706.1000000000004,High Risk,5
Kolkata,2025-12-11 06:00:00+00:00,96.6,90.6,688.0,4.9,32.9,223.0,4.85,Moderate,2939.0,High Risk,6
Kolkata,2025-12-11 07:00:00+00:00,88.5,82.0,573.0,2.4,31.3,236.0,4.2,Moderate,2664.3,High Risk,7
Kolkata,2025-12-11 08:00:00+00:00,84.8,78.5,540.0,1.8,29.0,236.0,2.85,Moderate,2558.1,High Risk,8
Kolkata,2025-12-11 09:00:00+00:00,83.6,77.3,558.0,4.8,28.0,226.0,1.4,Moderate,2562.5,High Risk,9
Kolkata,2025-12-11 10:00:00+00:00,82.9,77.1,644.0,13.2,29.4,204.0,0.45,Moderate,2704.6,High Risk,10
Kolkata,2025-12-11 11:00:00+00:00,100.1,95.5,782.0,25.2,32.1,173.0,0.05,Moderate,3090.0,High Risk,11
Kolkata,2025-12-11 12:00:00+00:00,125.7,120.6,898.0,36.7,35.9,142.0,0.0,Unhealthy,3492.5,High Risk,12
Kolkata,2025-12-11 13:00:00+00:00,149.9,145.3,943.0,47.0,41.5,114.0,0.0,Unhealthy,3758.2,High Risk,13
Kolkata,2025-12-11 14:00:00+00:00,170.4,165.8,966.0,57.0,48.1,87.0,0.0,Unhealthy,3953.6000000000004,High Risk,14
Kolkata,2025-12-11 15:00:00+00:00,185.8,181.1,1035.0,64.6,52.8,65.0,0.0,Unhealthy,4197.5,High Risk,15
Kolkata,2025-12-11 16:00:00+00:00,197.9,193.2,1220.0,69.1,54.1,51.0,0.0,Unhealthy,4645.5,High Risk,16
Kolkata,2025-12-11 17:00:00+00:00,206.3,201.6,1452.0,71.3,53.5,41.0,0.0,Very Unhealthy,5153.1,High Risk,17
Kolkata,2025-12-11 18:00:00+00:00,210.5,205.8,1594.0,72.2,52.2,34.0,0.0,Very Unhealthy,5448.1,High Risk,18
Kolkata,2025-12-11 19:00:00+00:00,213.3,209.1,1572.0,71.6,50.4,28.0,0.0,Very Unhealthy,5401.4,High Risk,19
Kolkata,2025-12-11 20:00:00+00:00,214.7,210.5,1459.0,69.8,47.8,23.0,0.0,Very Unhealthy,5154.0,High Risk,20
Kolkata,2025-12-11 21:00:00+00:00,213.7,209.5,1339.0,67.7,45.6,20.0,0.0,Very Unhealthy,4879.799999999999,High Risk,21
Kolkata,2025-12-11 22:00:00+00:00,212.8,209.1,1211.0,66.4,44.1,14.0,0.0,Very Unhealthy,4589.9,High Risk,22
Kolkata,2025-12-11 23:00:00+00:00,212.8,209.1,1076.0,65.0,42.8,9.0,0.0,Very Unhealthy,4294.1,High Risk,23
Kolkata,2025-12-12 00:00:00+00:00,214.7,210.9,1023.0,61.8,41.4,15.0,0.0,Very Unhealthy,4202.4,High Risk,0
Kolkata,2025-12-12 01:00:00+00:00,223.1,219.3,1156.0,56.1,40.2,38.0,0.1,Very Unhealthy,4577.0,High Risk,1
Kolkata,2025-12-12 02:00:00+00:00,221.2,218.4,1370.0,48.6,38.9,73.0,0.65,Very Unhealthy,5064.6,High Risk,2
Kolkata,2025-12-12 03:00:00+00:00,189.5,187.7,1445.0,39.7,36.3,109.0,1.9,Unhealthy,5028.0,High Risk,3
Kolkata,2025-12-12 04:00:00+00:00,142.5,139.2,1229.0,27.7,31.0,148.0,3.4,Unhealthy,4260.3,High Risk,4
Kolkata,2025-12-12 05:00:00+00:00,94.3,90.8,873.0,14.3,24.5,188.0,4.6,Moderate,3202.1,High Risk,5
Kolkata,2025-12-12 06:00:00+00:00,65.4,61.7,609.0,4.8,19.5,217.0,4.95,Moderate,2470.9,High Risk,6
Kolkata,2025-12-12 07:00:00+00:00,61.0,57.3,530.0,1.0,17.3,230.0,4.3,Moderate,2292.7,High Risk,7
Kolkata,2025-12-12 08:00:00+00:00,58.6,54.9,543.0,1.0,16.7,232.0,2.95,Moderate,2303.1,High Risk,8
Kolkata,2025-12-12 09:00:00+00:00,57.4,53.9,603.0,4.5,17.3,224.0,1.5,Moderate,2406.9,High Risk,9
Kolkata,2025-12-12 10:00:00+00:00,57.4,54.2,728.0,12.7,19.1,202.0,0.45,Moderate,2632.4,High Risk,10
Kolkata,2025-12-12 11:00:00+00:00,71.7,69.2,900.0,24.3,22.2,171.0,0.05,Moderate,3060.1,High Risk,11
Kolkata,2025-12-12 12:00:00+00:00,93.6,91.0,1020.0,35.1,26.0,141.0,0.0,Moderate,3443.2,High Risk,12
Kolkata,2025-12-12 13:00:00+00:00,112.9,110.6,1035.0,44.3,31.4,115.0,0.0,Unhealthy,3609.5,High Risk,13
Kolkata,2025-12-12 14:00:00+00:00,128.5,126.2,997.0,52.7,37.5,91.0,0.0,Unhealthy,3644.3,High Risk,14
Kolkata,2025-12-12 15:00:00+00:00,140.6,138.3,967.0,58.6,41.6,72.0,0.0,Unhealthy,3664.1000000000004,High Risk,15
Kolkata,2025-12-12 16:00:00+00:00,150.4,148.1,971.0,61.2,42.2,60.0,0.0,Unhealthy,3727.3,High Risk,16
Kolkata,2025-12-12 17:00:00+00:00,155.5,153.2,982.0,61.3,40.8,53.0,0.0,Unhealthy,3763.9,High Risk,17
Kolkata,2025-12-12 18:00:00+00:00,154.6,152.3,977.0,60.2,38.9,48.0,0.0,Unhealthy,3719.7,High Risk,18
Kolkata,2025-12-12 19:00:00+00:00,153.7,151.3,936.0,57.5,36.6,44.0,0.0,Unhealthy,3598.0,High Risk,19
Kolkata,2025-12-12 20:00:00+00:00,153.7,151.8,879.0,53.7,33.7,43.0,0.0,Unhealthy,3456.7,High Risk,20
Kolkata,2025-12-12 21:00:00+00:00,155.1,152.7,844.0,50.9,31.6,40.0,0.0,Unhealthy,3366.8,High Risk,21
Kolkata,2025-12-12 22:00:00+00:00,157.4,155.1,835.0,51.1,30.8,32.0,0.0,Unhealthy,3341.3,High Risk,22
Kolkata,2025-12-12 23:00:00+00:00,161.6,159.3,848.0,52.3,30.7,23.0,0.0,Unhealthy,3378.3,High Risk,23
Kolkata,2025-12-13 00:00:00+00:00,164.8,162.5,911.0,51.4,30.6,26.0,0.0,Unhealthy,3534.9,High Risk,0
Kolkata,2025-12-13 01:00:00+00:00,171.8,169.5,1099.0,46.7,30.8,48.0,0.1,Unhealthy,4014.9,High Risk,1
Kolkata,2025-12-13 02:00:00+00:00,164.4,163.0,1338.0,39.8,31.0,83.0,0.7,Unhealthy,4516.4,High Risk,2
Kolkata,2025-12-13 03:00:00+00:00,138.8,137.4,1425.0,32.1,30.0,117.0,2.0,Unhealthy,4552.8,High Risk,3
Kolkata,2025-12-13 04:00:00+00:00,108.0,106.6,1216.0,22.7,26.8,151.0,3.6,Unhealthy,3940.0,High Risk,4
Kolkata,2025-12-13 05:00:00+00:00,69.6,68.2,856.0,12.4,22.4,185.0,4.9,Moderate,2956.0,High Risk,5
Kolkata,2025-12-13 06:00:00+00:00,48.7,47.1,582.0,5.0,18.8,210.0,5.3,Good,2270.8,High Risk,6
Kolkata,2025-12-13 07:00:00+00:00,44.9,43.2,489.0,1.8,16.6,223.0,4.65,Good,2071.3,High Risk,7
Kolkata,2025-12-13 08:00:00+00:00,43.7,41.7,483.0,1.5,15.2,226.0,3.2,Good,2050.4,High Risk,8
Kolkata,2025-12-13 09:00:00+00:00,43.1,40.9,515.0,4.5,15.1,220.0,1.6,Good,2102.2,High Risk,9
Kolkata,2025-12-13 10:00:00+00:00,43.1,41.0,588.0,12.4,16.7,199.0,0.5,Good,2223.7,High Risk,10
Kolkata,2025-12-13 11:00:00+00:00,55.5,53.8,699.0,23.7,19.6,169.0,0.05,Moderate,2513.7,High Risk,11
Kolkata,2025-12-13 12:00:00+00:00,77.8,76.1,791.0,33.9,22.9,140.0,0.0,Moderate,2843.1,High Risk,12
Kolkata,2025-12-13 13:00:00+00:00,93.8,92.0,841.0,42.1,27.1,116.0,0.0,Moderate,3048.2,High Risk,13
Kolkata,2025-12-13 14:00:00+00:00,103.8,102.2,872.0,49.3,31.8,94.0,0.0,Unhealthy,3172.8,High Risk,14
Kolkata,2025-12-13 15:00:00+00:00,109.0,106.9,898.0,54.4,34.9,77.0,0.0,Unhealthy,3245.7,High Risk,15
Kolkata,2025-12-13 16:00:00+00:00,113.4,110.6,931.0,56.6,35.3,66.0,0.0,Unhealthy,3320.8,High Risk,16
Kolkata,2025-12-13 17:00:00+00:00,116.9,113.6,958.0,56.6,34.2,59.0,0.0,Unhealthy,3374.9,High Risk,17
Kolkata,2025-12-13 18:00:00+00:00,117.1,113.4,955.0,55.5,32.6,54.0,0.0,Unhealthy,3342.7,High Risk,18
Kolkata,2025-12-13 19:00:00+00:00,116.9,112.9,894.0,53.1,30.8,50.0,0.0,Unhealthy,3188.8,High Risk,19
Kolkata,2025-12-13 20:00:00+00:00,116.2,112.5,803.0,49.7,28.6,47.0,0.0,Unhealthy,2971.3,High Risk,20
Kolkata,2025-12-13 21:00:00+00:00,115.5,111.5,742.0,46.6,26.8,45.0,0.0,Unhealthy,2816.6000000000004,High Risk,21
Kolkata,2025-12-13 22:00:00+00:00,115.0,111.3,723.0,44.8,25.6,40.0,0.0,Unhealthy,2749.1000000000004,High Risk,22
Kolkata,2025-12-13 23:00:00+00:00,115.9,112.0,733.0,43.4,24.7,36.0,0.0,Unhealthy,2754.1,High Risk,23
Kolkata,2025-12-14 00:00:00+00:00,118.7,114.8,793.0,41.4,24.2,40.0,0.0,Unhealthy,2898.5,High Risk,0
