city,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,aqi_category,severity,risk_classification,hour
Mumbai,2025-12-11 00:00:00+00:00,30.7,30.7,337.0,43.5,20.8,26.0,0.0,Good,1254.8,High Risk,0
Mumbai,2025-12-11 01:00:00+00:00,29.9,29.8,477.0,44.2,22.7,23.0,0.0,Good,1529.3,High Risk,1
Mumbai,2025-12-11 02:00:00+00:00,32.4,32.2,661.0,44.4,25.5,24.0,0.15,Good,1931.8,High Risk,2
Mumbai,2025-12-11 03:00:00+00:00,36.3,36.2,755.0,43.2,27.9,40.0,0.95,Good,2204.3,High Risk,3
Mumbai,2025-12-11 04:00:00+00:00,38.8,38.8,674.0,39.7,29.1,84.0,2.65,Good,2185.6,High Risk,4
Mumbai,2025-12-11 05:00:00+00:00,39.7,39.7,505.0,34.8,29.8,143.0,4.7,Good,2015.0,High Risk,5
Mumbai,2025-12-11 06:00:00+00:00,38.6,38.6,370.0,30.5,30.6,198.0,6.4,Good,1887.2,High Risk,6
Mumbai,2025-12-11 07:00:00+00:00,40.2,40.2,317.0,27.1,32.4,248.0,6.9,Good,1937.6,High Risk,7
Mumbai,2025-12-11 08:00:00+00:00,47.4,47.4,299.0,24.2,34.5,292.0,6.1,Good,2088.0,High Risk,8
Mumbai,2025-12-11 09:00:00+00:00,49.7,49.5,302.0,22.7,34.8,313.0,4.3,Good,2169.6,High Risk,9
Mumbai,2025-12-11 10:00:00+00:00,48.3,47.8,330.0,24.1,32.1,293.0,2.25,Good,2147.7,High Risk,10
Mumbai,2025-12-11 11:00:00+00:00,44.4,43.7,378.0,27.0,27.7,250.0,0.75,Good,2076.5,High Risk,11
Mumbai,2025-12-11 12:00:00+00:00,36.3,35.5,419.0,27.8,24.0,209.0,0.1,Good,1958.6,High Risk,12
Mumbai,2025-12-11 13:00:00+00:00,28.5,27.4,436.0,24.0,20.9,181.0,0.0,Good,1817.1,High Risk,13
Mumbai,2025-12-11 14:00:00+00:00,24.5,23.3,445.0,18.2,18.5,156.0,0.0,Good,1694.8,High Risk,14
Mumbai,2025-12-11 15:00:00+00:00,24.6,23.6,470.0,14.9,18.8,135.0,0.0,Good,1671.6,High Risk,15
Mumbai,2025-12-11 16:00:00+00:00,27.5,26.7,539.0,16.7,24.8,117.0,0.0,Good,1811.0,High Risk,16
Mumbai,2025-12-11 17:00:00+00:00,31.0,30.4,624.0,20.9,33.6,103.0,0.0,Good,2020.0,High Risk,17
Mumbai,2025-12-11 18:00:00+00:00,33.5,33.2,663.0,24.1,38.7,90.0,0.0,Good,2113.7,High Risk,18
Mumbai,2025-12-11 19:00:00+00:00,32.6,32.5,613.0,24.4,36.2,79.0,0.0,Good,1965.7,High Risk,19
Mumbai,2025-12-11 20:00:00+00:00,30.7,30.6,517.0,23.7,30.0,71.0,0.0,Good,1706.9,High Risk,20
Mumbai,2025-12-11 21:00:00+00:00,28.9,28.8,438.0,23.5,25.1,63.0,0.0,Good,1490.1,High Risk,21
Mumbai,2025-12-11 22:00:00+00:00,27.8,27.6,381.0,24.3,23.1,56.0,0.0,Good,1341.0,High Risk,22
Mumbai,2025-12-11 23:00:00+00:00,27.2,27.0,342.0,25.8,22.4,50.0,0.0,Good,1243.4,High Risk,23
